k = 1805, p# = 509.000000, sp# = 3609.000000, ratio = 0.141036
k = 1825, p# = 516.000000, sp# = 3649.000000, ratio = 0.141409
k = 1845, p# = 519.000000, sp# = 3689.000000, ratio = 0.140689
k = 1865, p# = 525.000000, sp# = 3729.000000, ratio = 0.140788
k = 1885, p# = 528.000000, sp# = 3769.000000, ratio = 0.140090
k = 1905, p# = 532.000000, sp# = 3809.000000, ratio = 0.139669
k = 1925, p# = 535.000000, sp# = 3849.000000, ratio = 0.138997
k = 1945, p# = 538.000000, sp# = 3889.000000, ratio = 0.138339
k = 1965, p# = 541.000000, sp# = 3929.000000, ratio = 0.137694
k = 1985, p# = 550.000000, sp# = 3969.000000, ratio = 0.138574
k = 2005, p# = 554.000000, sp# = 4009.000000, ratio = 0.138189
k = 2025, p# = 559.000000, sp# = 4049.000000, ratio = 0.138059
k = 2045, p# = 563.000000, sp# = 4089.000000, ratio = 0.137686
k = 2065, p# = 571.000000, sp# = 4129.000000, ratio = 0.138290
k = 2085, p# = 577.000000, sp# = 4169.000000, ratio = 0.138402
k = 2105, p# = 582.000000, sp# = 4209.000000, ratio = 0.138275
k = 2125, p# = 588.000000, sp# = 4249.000000, ratio = 0.138386
k = 2145, p# = 594.000000, sp# = 4289.000000, ratio = 0.138494
k = 2165, p# = 600.000000, sp# = 4329.000000, ratio = 0.138600
k = 2185, p# = 604.000000, sp# = 4369.000000, ratio = 0.138247
k = 2205, p# = 606.000000, sp# = 4409.000000, ratio = 0.137446
k = 2225, p# = 609.000000, sp# = 4449.000000, ratio = 0.136885
k = 2245, p# = 611.000000, sp# = 4489.000000, ratio = 0.136110
k = 2265, p# = 617.000000, sp# = 4529.000000, ratio = 0.136233
k = 2285, p# = 621.000000, sp# = 4569.000000, ratio = 0.135916
k = 2305, p# = 626.000000, sp# = 4609.000000, ratio = 0.135821
k = 2325, p# = 633.000000, sp# = 4649.000000, ratio = 0.136158
k = 2345, p# = 637.000000, sp# = 4689.000000, ratio = 0.135850
k = 2365, p# = 642.000000, sp# = 4729.000000, ratio = 0.135758
k = 2385, p# = 645.000000, sp# = 4769.000000, ratio = 0.135248
k = 2405, p# = 651.000000, sp# = 4809.000000, ratio = 0.135371
k = 2425, p# = 655.000000, sp# = 4849.000000, ratio = 0.135079
k = 2445, p# = 660.000000, sp# = 4889.000000, ratio = 0.134997
k = 2465, p# = 668.000000, sp# = 4929.000000, ratio = 0.135524
k = 2485, p# = 674.000000, sp# = 4969.000000, ratio = 0.135641
k = 2505, p# = 678.000000, sp# = 5009.000000, ratio = 0.135356
k = 2525, p# = 682.000000, sp# = 5049.000000, ratio = 0.135076
k = 2545, p# = 687.000000, sp# = 5089.000000, ratio = 0.134997
k = 2565, p# = 693.000000, sp# = 5129.000000, ratio = 0.135114
k = 2585, p# = 697.000000, sp# = 5169.000000, ratio = 0.134842
k = 2605, p# = 703.000000, sp# = 5209.000000, ratio = 0.134959
k = 2625, p# = 706.000000, sp# = 5249.000000, ratio = 0.134502
k = 2645, p# = 709.000000, sp# = 5289.000000, ratio = 0.134052
k = 2665, p# = 717.000000, sp# = 5329.000000, ratio = 0.134547
k = 2685, p# = 723.000000, sp# = 5369.000000, ratio = 0.134662
k = 2705, p# = 727.000000, sp# = 5409.000000, ratio = 0.134406
k = 2725, p# = 732.000000, sp# = 5449.000000, ratio = 0.134337
k = 2745, p# = 739.000000, sp# = 5489.000000, ratio = 0.134633
k = 2765, p# = 742.000000, sp# = 5529.000000, ratio = 0.134201
k = 2785, p# = 747.000000, sp# = 5569.000000, ratio = 0.134135
k = 2805, p# = 752.000000, sp# = 5609.000000, ratio = 0.134070
k = 2825, p# = 754.000000, sp# = 5649.000000, ratio = 0.133475
k = 2845, p# = 759.000000, sp# = 5689.000000, ratio = 0.133415
k = 2865, p# = 764.000000, sp# = 5729.000000, ratio = 0.133357
k = 2885, p# = 771.000000, sp# = 5769.000000, ratio = 0.133645
k = 2905, p# = 778.000000, sp# = 5809.000000, ratio = 0.133930
k = 2925, p# = 782.000000, sp# = 5849.000000, ratio = 0.133698
k = 2945, p# = 788.000000, sp# = 5889.000000, ratio = 0.133809
k = 2965, p# = 793.000000, sp# = 5929.000000, ratio = 0.133749
k = 2985, p# = 797.000000, sp# = 5969.000000, ratio = 0.133523
k = 3005, p# = 800.000000, sp# = 6009.000000, ratio = 0.133134
k = 3025, p# = 804.000000, sp# = 6049.000000, ratio = 0.132915
k = 3045, p# = 809.000000, sp# = 6089.000000, ratio = 0.132863
k = 3065, p# = 814.000000, sp# = 6129.000000, ratio = 0.132811
k = 3085, p# = 816.000000, sp# = 6169.000000, ratio = 0.132274
k = 3105, p# = 820.000000, sp# = 6209.000000, ratio = 0.132066
k = 3125, p# = 824.000000, sp# = 6249.000000, ratio = 0.131861
k = 3145, p# = 832.000000, sp# = 6289.000000, ratio = 0.132294
k = 3165, p# = 835.000000, sp# = 6329.000000, ratio = 0.131932
k = 3185, p# = 839.000000, sp# = 6369.000000, ratio = 0.131732
k = 3205, p# = 845.000000, sp# = 6409.000000, ratio = 0.131846
k = 3225, p# = 850.000000, sp# = 6449.000000, ratio = 0.131803
k = 3245, p# = 853.000000, sp# = 6489.000000, ratio = 0.131453
k = 3265, p# = 858.000000, sp# = 6529.000000, ratio = 0.131414
k = 3285, p# = 863.000000, sp# = 6569.000000, ratio = 0.131375
k = 3305, p# = 869.000000, sp# = 6609.000000, ratio = 0.131487
k = 3325, p# = 872.000000, sp# = 6649.000000, ratio = 0.131148
k = 3345, p# = 878.000000, sp# = 6689.000000, ratio = 0.131260
k = 3365, p# = 882.000000, sp# = 6729.000000, ratio = 0.131074
k = 3385, p# = 885.000000, sp# = 6769.000000, ratio = 0.130743
k = 3405, p# = 888.000000, sp# = 6809.000000, ratio = 0.130416
k = 3425, p# = 893.000000, sp# = 6849.000000, ratio = 0.130384
k = 3445, p# = 898.000000, sp# = 6889.000000, ratio = 0.130353
k = 3465, p# = 903.000000, sp# = 6929.000000, ratio = 0.130322
k = 3485, p# = 909.000000, sp# = 6969.000000, ratio = 0.130435
k = 3505, p# = 915.000000, sp# = 7009.000000, ratio = 0.130546
k = 3525, p# = 919.000000, sp# = 7049.000000, ratio = 0.130373
k = 3545, p# = 926.000000, sp# = 7089.000000, ratio = 0.130625
k = 3565, p# = 931.000000, sp# = 7129.000000, ratio = 0.130593
k = 3585, p# = 933.000000, sp# = 7169.000000, ratio = 0.130144
k = 3605, p# = 936.000000, sp# = 7209.000000, ratio = 0.129838
k = 3625, p# = 940.000000, sp# = 7249.000000, ratio = 0.129673
k = 3645, p# = 945.000000, sp# = 7289.000000, ratio = 0.129647
k = 3665, p# = 949.000000, sp# = 7329.000000, ratio = 0.129486
k = 3685, p# = 951.000000, sp# = 7369.000000, ratio = 0.129054
k = 3705, p# = 954.000000, sp# = 7409.000000, ratio = 0.128762
k = 3725, p# = 958.000000, sp# = 7449.000000, ratio = 0.128608
k = 3745, p# = 964.000000, sp# = 7489.000000, ratio = 0.128722
k = 3765, p# = 970.000000, sp# = 7529.000000, ratio = 0.128835
k = 3785, p# = 974.000000, sp# = 7569.000000, ratio = 0.128683
k = 3805, p# = 980.000000, sp# = 7609.000000, ratio = 0.128795
k = 3825, p# = 981.000000, sp# = 7649.000000, ratio = 0.128252
k = 3845, p# = 988.000000, sp# = 7689.000000, ratio = 0.128495
k = 3865, p# = 991.000000, sp# = 7729.000000, ratio = 0.128218
k = 3885, p# = 997.000000, sp# = 7769.000000, ratio = 0.128331
k = 3905, p# = 1004.000000, sp# = 7809.000000, ratio = 0.128570
k = 3925, p# = 1010.000000, sp# = 7849.000000, ratio = 0.128679
k = 3945, p# = 1012.000000, sp# = 7889.000000, ratio = 0.128280
k = 3965, p# = 1014.000000, sp# = 7929.000000, ratio = 0.127885
k = 3985, p# = 1018.000000, sp# = 7969.000000, ratio = 0.127745
k = 4005, p# = 1025.000000, sp# = 8009.000000, ratio = 0.127981
k = 4025, p# = 1028.000000, sp# = 8049.000000, ratio = 0.127718
k = 4045, p# = 1033.000000, sp# = 8089.000000, ratio = 0.127704
k = 4065, p# = 1038.000000, sp# = 8129.000000, ratio = 0.127691
k = 4085, p# = 1044.000000, sp# = 8169.000000, ratio = 0.127800
k = 4105, p# = 1047.000000, sp# = 8209.000000, ratio = 0.127543
k = 4125, p# = 1053.000000, sp# = 8249.000000, ratio = 0.127652
k = 4145, p# = 1058.000000, sp# = 8289.000000, ratio = 0.127639
k = 4165, p# = 1064.000000, sp# = 8329.000000, ratio = 0.127746
k = 4185, p# = 1072.000000, sp# = 8369.000000, ratio = 0.128092
k = 4205, p# = 1076.000000, sp# = 8409.000000, ratio = 0.127958
k = 4225, p# = 1079.000000, sp# = 8449.000000, ratio = 0.127707
k = 4245, p# = 1083.000000, sp# = 8489.000000, ratio = 0.127577
k = 4265, p# = 1088.000000, sp# = 8529.000000, ratio = 0.127565
k = 4285, p# = 1092.000000, sp# = 8569.000000, ratio = 0.127436
k = 4305, p# = 1097.000000, sp# = 8609.000000, ratio = 0.127425
k = 4325, p# = 1101.000000, sp# = 8649.000000, ratio = 0.127298
k = 4345, p# = 1106.000000, sp# = 8689.000000, ratio = 0.127287
k = 4365, p# = 1111.000000, sp# = 8729.000000, ratio = 0.127277
k = 4385, p# = 1118.000000, sp# = 8769.000000, ratio = 0.127495
k = 4405, p# = 1124.000000, sp# = 8809.000000, ratio = 0.127597
k = 4425, p# = 1130.000000, sp# = 8849.000000, ratio = 0.127698
k = 4445, p# = 1135.000000, sp# = 8889.000000, ratio = 0.127686
k = 4465, p# = 1138.000000, sp# = 8929.000000, ratio = 0.127450
k = 4485, p# = 1141.000000, sp# = 8969.000000, ratio = 0.127216
k = 4505, p# = 1144.000000, sp# = 9009.000000, ratio = 0.126984
k = 4525, p# = 1149.000000, sp# = 9049.000000, ratio = 0.126975
k = 4545, p# = 1156.000000, sp# = 9089.000000, ratio = 0.127187
k = 4565, p# = 1161.000000, sp# = 9129.000000, ratio = 0.127177
k = 4585, p# = 1165.000000, sp# = 9169.000000, ratio = 0.127059
k = 4605, p# = 1169.000000, sp# = 9209.000000, ratio = 0.126941
k = 4625, p# = 1173.000000, sp# = 9249.000000, ratio = 0.126825
k = 4645, p# = 1178.000000, sp# = 9289.000000, ratio = 0.126817
k = 4665, p# = 1182.000000, sp# = 9329.000000, ratio = 0.126702
k = 4685, p# = 1184.000000, sp# = 9369.000000, ratio = 0.126374
k = 4705, p# = 1188.000000, sp# = 9409.000000, ratio = 0.126262
k = 4725, p# = 1193.000000, sp# = 9449.000000, ratio = 0.126257
k = 4745, p# = 1198.000000, sp# = 9489.000000, ratio = 0.126251
k = 4765, p# = 1202.000000, sp# = 9529.000000, ratio = 0.126141
k = 4785, p# = 1207.000000, sp# = 9569.000000, ratio = 0.126136
k = 4805, p# = 1214.000000, sp# = 9609.000000, ratio = 0.126340
k = 4825, p# = 1218.000000, sp# = 9649.000000, ratio = 0.126231
k = 4845, p# = 1220.000000, sp# = 9689.000000, ratio = 0.125916
k = 4865, p# = 1223.000000, sp# = 9729.000000, ratio = 0.125707
k = 4885, p# = 1226.000000, sp# = 9769.000000, ratio = 0.125499
k = 4905, p# = 1233.000000, sp# = 9809.000000, ratio = 0.125701
k = 4925, p# = 1237.000000, sp# = 9849.000000, ratio = 0.125597
k = 4945, p# = 1241.000000, sp# = 9889.000000, ratio = 0.125493
k = 4965, p# = 1245.000000, sp# = 9929.000000, ratio = 0.125390
k = 4985, p# = 1249.000000, sp# = 9969.000000, ratio = 0.125288
k = 5005, p# = 1252.000000, sp# = 10009.000000, ratio = 0.125087
k = 5025, p# = 1257.000000, sp# = 10049.000000, ratio = 0.125087
k = 5045, p# = 1262.000000, sp# = 10089.000000, ratio = 0.125087
k = 5065, p# = 1266.000000, sp# = 10129.000000, ratio = 0.124988
k = 5085, p# = 1269.000000, sp# = 10169.000000, ratio = 0.124791
k = 5105, p# = 1274.000000, sp# = 10209.000000, ratio = 0.124792
k = 5125, p# = 1277.000000, sp# = 10249.000000, ratio = 0.124598
k = 5145, p# = 1281.000000, sp# = 10289.000000, ratio = 0.124502
k = 5165, p# = 1284.000000, sp# = 10329.000000, ratio = 0.124310
k = 5185, p# = 1290.000000, sp# = 10369.000000, ratio = 0.124409
k = 5205, p# = 1294.000000, sp# = 10409.000000, ratio = 0.124315
k = 5225, p# = 1298.000000, sp# = 10449.000000, ratio = 0.124222
k = 5245, p# = 1303.000000, sp# = 10489.000000, ratio = 0.124225
k = 5265, p# = 1312.000000, sp# = 10529.000000, ratio = 0.124608
k = 5285, p# = 1316.000000, sp# = 10569.000000, ratio = 0.124515
k = 5305, p# = 1321.000000, sp# = 10609.000000, ratio = 0.124517
k = 5325, p# = 1322.000000, sp# = 10649.000000, ratio = 0.124143
k = 5345, p# = 1326.000000, sp# = 10689.000000, ratio = 0.124053
k = 5365, p# = 1330.000000, sp# = 10729.000000, ratio = 0.123963
k = 5385, p# = 1334.000000, sp# = 10769.000000, ratio = 0.123874
k = 5405, p# = 1337.000000, sp# = 10809.000000, ratio = 0.123693
k = 5425, p# = 1341.000000, sp# = 10849.000000, ratio = 0.123606
k = 5445, p# = 1343.000000, sp# = 10889.000000, ratio = 0.123335
k = 5465, p# = 1347.000000, sp# = 10929.000000, ratio = 0.123250
k = 5485, p# = 1351.000000, sp# = 10969.000000, ratio = 0.123165
k = 5505, p# = 1356.000000, sp# = 11009.000000, ratio = 0.123172
k = 5525, p# = 1362.000000, sp# = 11049.000000, ratio = 0.123269
k = 5545, p# = 1366.000000, sp# = 11089.000000, ratio = 0.123185
k = 5565, p# = 1372.000000, sp# = 11129.000000, ratio = 0.123282
k = 5585, p# = 1377.000000, sp# = 11169.000000, ratio = 0.123288
